model,accuracy,fail_ratio
Mistralv3_0_shot,0.6166666666666667,0.3833333333333333
Mistralv3_2_shot,0.7666666666666667,0.2333333333333333
Mistralv3_4_shot,0.77,0.23
Mistralv3_8_shot,0.7466666666666667,0.2533333333333333
Mistralv3_2_shot_bm25,0.6866666666666666,0.3133333333333333
Mistralv3_4_shot_bm25,0.64,0.36
Mistralv3_8_shot_bm25,0.69,0.31
Llama3_0_shot,0.5966666666666667,0.4033333333333333
Llama3_2_shot,0.62,0.38
Llama3_4_shot,0.66,0.34
Llama3_8_shot,0.6866666666666666,0.3133333333333333
Llama3_2_shot_bm25,0.62,0.38
Llama3_4_shot_bm25,0.6266666666666667,0.37333333333333335
Llama3_8_shot_bm25,0.6,0.4
